subscription_id,subscription_name,resource_group,resource_name,resource_type,location,sku,size,unit,quantity,unit_price_usd,estimated_cost_usd
sub-premium-004,Premium Services,rg-premium-compute,vm-premium-web-01,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-premium-004,Premium Services,rg-premium-compute,vm-premium-web-02,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-premium-004,Premium Services,rg-premium-compute,vm-premium-web-03,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-premium-004,Premium Services,rg-premium-compute,vm-premium-web-04,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-premium-004,Premium Services,rg-premium-compute,vm-premium-cache-01,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_E2s_v3,1 Hour,730,0.128,93.44
sub-premium-004,Premium Services,rg-premium-compute,vm-premium-cache-02,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_E2s_v3,1 Hour,730,0.128,93.44
sub-premium-004,Premium Services,rg-premium-compute,vm-premium-cache-03,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_E2s_v3,1 Hour,730,0.128,93.44
sub-premium-004,Premium Services,rg-premium-compute,vm-premium-monitor,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D2s_v3,1 Hour,730,0.106,77.38
sub-premium-004,Premium Services,rg-premium-storage,stpremium-hot,Microsoft.Storage/storageAccounts,westeurope,Premium_LRS,NDF,1 GB/Month,1000,0.17,170.00
sub-premium-004,Premium Services,rg-premium-storage,stpremium-cold,Microsoft.Storage/storageAccounts,westeurope,Standard_GRS,NDF,1 GB/Month,500,0.036,18.00
sub-premium-004,Premium Services,rg-premium-storage,stpremium-archive,Microsoft.Storage/storageAccounts,westeurope,Standard_LRS,NDF,1 GB/Month,2000,0.018,36.00
sub-premium-004,Premium Services,rg-premium-storage,stpremium-backup,Microsoft.Storage/storageAccounts,westeurope,Standard_GRS,NDF,1 GB/Month,1000,0.036,36.00
sub-premium-004,Premium Services,rg-premium-database,sqlserver-prod-01,Microsoft.Sql/servers/databases,westeurope,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-premium-004,Premium Services,rg-premium-database,sqlserver-prod-02,Microsoft.Sql/servers/databases,westeurope,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-premium-004,Premium Services,rg-premium-database,sqlserver-analytics,Microsoft.Sql/servers/databases,westeurope,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-premium-004,Premium Services,rg-premium-database,sqlserver-reporting,Microsoft.Sql/servers/databases,westeurope,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-premium-004,Premium Services,rg-premium-database,cosmosdb-main,Microsoft.DocumentDB/databaseAccounts,westeurope,NDF,Multi-region,1 Hour,730,0.18,131.40
sub-premium-004,Premium Services,rg-premium-web,asp-premium-main,Microsoft.Web/serverFarms,westeurope,NDF,P2v2,1 Hour,730,0.168,122.64
sub-premium-004,Premium Services,rg-premium-web,asp-premium-api,Microsoft.Web/serverFarms,westeurope,NDF,P1v2,1 Hour,730,0.08,58.40
sub-premium-004,Premium Services,rg-premium-web,asp-premium-worker,Microsoft.Web/serverFarms,westeurope,NDF,P1v2,1 Hour,730,0.08,58.40
sub-premium-004,Premium Services,rg-premium-appinsights,appinsights-premium,Microsoft.Insights/components,westeurope,NDF,Enterprise,1 GB,100,2.00,200.00
sub-premium-004,Premium Services,rg-premium-keyvault,keyvault-premium,Microsoft.KeyVault/vaults,westeurope,NDF,Standard,1 Month,1,5.00,5.00
sub-premium-004,Premium Services,rg-premium-messaging,servicebus-premium,Microsoft.ServiceBus/namespaces,westeurope,NDF,Standard,1 Million Ops,50,1.00,50.00
sub-premium-004,Premium Services,rg-premium-messaging,queue-premium-01,Microsoft.ServiceBus/namespaces,westeurope,NDF,Standard,1 Million Ops,20,1.00,20.00
sub-premium-004,Premium Services,rg-premium-network,vnet-premium,Microsoft.Network/virtualNetworks,westeurope,NDF,NDF,N/A,0,0.00,0.00
sub-premium-004,Premium Services,rg-premium-network,nsg-premium,Microsoft.Network/networkSecurityGroups,westeurope,NDF,NDF,1 NSG,1,0.50,0.50
sub-premium-004,Premium Services,rg-premium-network,pip-premium-01,Microsoft.Network/publicIPAddresses,westeurope,NDF,NDF,1 IP/Month,1,2.50,2.50
sub-premium-004,Premium Services,rg-premium-network,pip-premium-02,Microsoft.Network/publicIPAddresses,westeurope,NDF,NDF,1 IP/Month,1,2.50,2.50
sub-premium-004,Premium Services,rg-premium-network,pip-premium-03,Microsoft.Network/publicIPAddresses,westeurope,NDF,NDF,1 IP/Month,1,2.50,2.50
sub-premium-004,Premium Services,rg-premium-network,appgateway-premium,Microsoft.Network/applicationGateways,westeurope,NDF,Standard_Medium,1 Hour,730,0.25,182.50
sub-premium-004,Premium Services,rg-premium-network,cdn-premium,Microsoft.Cdn/profiles,westeurope,NDF,Standard,1 Month,1,0.085,2.55
sub-premium-004,Premium Services,rg-premium-monitoring,loganalytics-premium,Microsoft.OperationalInsights/workspaces,westeurope,NDF,PerGB2018,1 GB,100,2.30,230.00
