subscription_id,subscription_name,resource_group,resource_name,resource_type,location,sku,size,unit,quantity,unit_price_usd,estimated_cost_usd
sub-multi-us,US Region,rg-us-compute-east,vm-us-east-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D2s_v3,1 Hour,730,0.096,70.08
sub-multi-us,US Region,rg-us-compute-east,vm-us-east-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D2s_v3,1 Hour,730,0.096,70.08
sub-multi-us,US Region,rg-us-compute-east,vm-us-east-03,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-multi-us,US Region,rg-us-compute-east,vm-us-east-04,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-multi-us,US Region,rg-us-compute-west,vm-us-west-01,Microsoft.Compute/virtualMachines,westus2,NDF,Standard_D2s_v3,1 Hour,730,0.088,64.24
sub-multi-us,US Region,rg-us-compute-west,vm-us-west-02,Microsoft.Compute/virtualMachines,westus2,NDF,Standard_D2s_v3,1 Hour,730,0.088,64.24
sub-multi-us,US Region,rg-us-storage-east,stusdata-east,Microsoft.Storage/storageAccounts,eastus,Standard_LRS,NDF,1 GB/Month,300,0.018,5.40
sub-multi-us,US Region,rg-us-storage-east,stusbackup-east,Microsoft.Storage/storageAccounts,eastus,Standard_GRS,NDF,1 GB/Month,500,0.036,18.00
sub-multi-us,US Region,rg-us-storage-west,stusdata-west,Microsoft.Storage/storageAccounts,westus2,Standard_LRS,NDF,1 GB/Month,300,0.018,5.40
sub-multi-us,US Region,rg-us-database-east,sqlserver-us-east,Microsoft.Sql/servers/databases,eastus,Standard,NDF,1 Hour,730,0.10,73.00
sub-multi-us,US Region,rg-us-database-east,sqlserver-us-analytics,Microsoft.Sql/servers/databases,eastus,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-multi-us,US Region,rg-us-database-west,sqlserver-us-west,Microsoft.Sql/servers/databases,westus2,Standard,NDF,1 Hour,730,0.10,73.00
sub-multi-us,US Region,rg-us-web-east,asp-us-main,Microsoft.Web/serverFarms,eastus,NDF,S1,1 Hour,730,0.064,46.72
sub-multi-us,US Region,rg-us-web-west,asp-us-west,Microsoft.Web/serverFarms,westus2,NDF,S1,1 Hour,730,0.064,46.72
sub-multi-us,US Region,rg-us-network,vnet-us,Microsoft.Network/virtualNetworks,eastus,NDF,NDF,N/A,0,0.00,0.00
sub-multi-eu,EU Region,rg-eu-compute-west,vm-eu-west-01,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-multi-eu,EU Region,rg-eu-compute-west,vm-eu-west-02,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-multi-eu,EU Region,rg-eu-compute-west,vm-eu-west-03,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-multi-eu,EU Region,rg-eu-compute-north,vm-eu-north-01,Microsoft.Compute/virtualMachines,northeurope,NDF,Standard_D2s_v3,1 Hour,730,0.088,64.24
sub-multi-eu,EU Region,rg-eu-compute-north,vm-eu-north-02,Microsoft.Compute/virtualMachines,northeurope,NDF,Standard_D2s_v3,1 Hour,730,0.088,64.24
sub-multi-eu,EU Region,rg-eu-compute-uk,vm-eu-uk-01,Microsoft.Compute/virtualMachines,uksouth,NDF,Standard_D2s_v3,1 Hour,730,0.104,75.92
sub-multi-eu,EU Region,rg-eu-storage-west,steudata-west,Microsoft.Storage/storageAccounts,westeurope,Premium_LRS,NDF,1 GB/Month,800,0.17,136.00
sub-multi-eu,EU Region,rg-eu-storage-west,steubackup-west,Microsoft.Storage/storageAccounts,westeurope,Standard_GRS,NDF,1 GB/Month,600,0.036,21.60
sub-multi-eu,EU Region,rg-eu-storage-north,steudata-north,Microsoft.Storage/storageAccounts,northeurope,Standard_LRS,NDF,1 GB/Month,400,0.018,7.20
sub-multi-eu,EU Region,rg-eu-database-west,sqlserver-eu-west,Microsoft.Sql/servers/databases,westeurope,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-multi-eu,EU Region,rg-eu-database-west,sqlserver-eu-analytics,Microsoft.Sql/servers/databases,westeurope,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-multi-eu,EU Region,rg-eu-database-north,sqlserver-eu-north,Microsoft.Sql/servers/databases,northeurope,Standard,NDF,1 Hour,730,0.10,73.00
sub-multi-eu,EU Region,rg-eu-database-uk,sqlserver-eu-uk,Microsoft.Sql/servers/databases,uksouth,Standard,NDF,1 Hour,730,0.15,109.50
sub-multi-eu,EU Region,rg-eu-web-west,asp-eu-main,Microsoft.Web/serverFarms,westeurope,NDF,P2v2,1 Hour,730,0.168,122.64
sub-multi-eu,EU Region,rg-eu-web-north,asp-eu-north,Microsoft.Web/serverFarms,northeurope,NDF,S2,1 Hour,730,0.128,93.44
sub-multi-eu,EU Region,rg-eu-network,vnet-eu,Microsoft.Network/virtualNetworks,westeurope,NDF,NDF,N/A,0,0.00,0.00
sub-multi-asia,ASIA Region,rg-asia-compute-se,vm-asia-se-01,Microsoft.Compute/virtualMachines,southeastasia,NDF,Standard_D2s_v3,1 Hour,730,0.111,81.03
sub-multi-asia,ASIA Region,rg-asia-compute-se,vm-asia-se-02,Microsoft.Compute/virtualMachines,southeastasia,NDF,Standard_D2s_v3,1 Hour,730,0.111,81.03
sub-multi-asia,ASIA Region,rg-asia-compute-se,vm-asia-se-03,Microsoft.Compute/virtualMachines,southeastasia,NDF,Standard_D4s_v3,1 Hour,730,0.24,175.20
sub-multi-asia,ASIA Region,rg-asia-compute-east,vm-asia-east-01,Microsoft.Compute/virtualMachines,eastasia,NDF,Standard_B2s,1 Hour,730,0.0481,35.11
sub-multi-asia,ASIA Region,rg-asia-storage-se,stasiadata-se,Microsoft.Storage/storageAccounts,southeastasia,Standard_GRS,NDF,1 GB/Month,200,0.042,8.40
sub-multi-asia,ASIA Region,rg-asia-storage-east,stasiadata-east,Microsoft.Storage/storageAccounts,eastasia,Standard_LRS,NDF,1 GB/Month,150,0.02,3.00
sub-multi-asia,ASIA Region,rg-asia-database-se,sqlserver-asia-se,Microsoft.Sql/servers/databases,southeastasia,Standard,NDF,1 Hour,730,0.12,87.60
sub-multi-asia,ASIA Region,rg-asia-database-east,sqlserver-asia-east,Microsoft.Sql/servers/databases,eastasia,Standard,NDF,1 Hour,730,0.12,87.60
