subscription_id,subscription_name,resource_group,resource_name,resource_type,location,sku,size,unit,quantity,unit_price_usd,estimated_cost_usd
sub-server-007,Serverless Advanced,rg-server-compute-core,vm-server-core-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E8s_v3,1 Hour,730,0.528,385.44
sub-server-007,Serverless Advanced,rg-server-compute-core,vm-server-core-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E8s_v3,1 Hour,730,0.528,385.44
sub-server-007,Serverless Advanced,rg-server-compute-core,vm-server-core-03,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E8s_v3,1 Hour,730,0.528,385.44
sub-server-007,Serverless Advanced,rg-server-compute-core,vm-server-core-04,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E4s_v3,1 Hour,730,0.264,192.72
sub-server-007,Serverless Advanced,rg-server-compute-app,vm-server-app-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-server-007,Serverless Advanced,rg-server-compute-app,vm-server-app-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-server-007,Serverless Advanced,rg-server-compute-app,vm-server-app-03,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-server-007,Serverless Advanced,rg-server-compute-worker,vm-server-worker-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D2s_v3,1 Hour,730,0.096,70.08
sub-server-007,Serverless Advanced,rg-server-compute-worker,vm-server-worker-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D2s_v3,1 Hour,730,0.096,70.08
sub-server-007,Serverless Advanced,rg-server-compute-monitor,vm-server-monitor,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D2s_v3,1 Hour,730,0.096,70.08
sub-server-007,Serverless Advanced,rg-server-storage-hot,stserverdata-hot,Microsoft.Storage/storageAccounts,eastus,Premium_LRS,NDF,1 GB/Month,1000,0.17,170.00
