subscription_id,subscription_name,resource_group,resource_name,resource_type,location,sku,size,unit,quantity,unit_price_usd,estimated_cost_usd
sub-ent-prod-us,Enterprise Production US,rg-ent-compute-primary-web,vm-ent-web-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-ent-prod-us,Enterprise Production US,rg-ent-compute-primary-web,vm-ent-web-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-ent-prod-us,Enterprise Production US,rg-ent-compute-primary-web,vm-ent-web-03,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-ent-prod-us,Enterprise Production US,rg-ent-compute-primary-web,vm-ent-web-04,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-ent-prod-us,Enterprise Production US,rg-ent-compute-app,vm-ent-api-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E4s_v3,1 Hour,730,0.264,192.72
sub-ent-prod-us,Enterprise Production US,rg-ent-compute-app,vm-ent-api-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E4s_v3,1 Hour,730,0.264,192.72
sub-ent-prod-us,Enterprise Production US,rg-ent-compute-app,vm-ent-api-03,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E4s_v3,1 Hour,730,0.264,192.72
sub-ent-prod-us,Enterprise Production US,rg-ent-compute-worker,vm-ent-worker-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-ent-prod-us,Enterprise Production US,rg-ent-compute-worker,vm-ent-worker-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-ent-prod-us,Enterprise Production US,rg-ent-compute-cache,vm-ent-cache-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E2s_v3,1 Hour,730,0.128,93.44
sub-ent-prod-us,Enterprise Production US,rg-ent-storage-primary,stentprimary-hot,Microsoft.Storage/storageAccounts,eastus,Premium_LRS,NDF,1 GB/Month,5000,0.17,850.00
sub-ent-prod-us,Enterprise Production US,rg-ent-storage-primary,stentprimary-cold,Microsoft.Storage/storageAccounts,eastus,Standard_GRS,NDF,1 GB/Month,10000,0.036,360.00
sub-ent-prod-us,Enterprise Production US,rg-ent-storage-backup,stentbackup-01,Microsoft.Storage/storageAccounts,eastus,Standard_GRS,NDF,1 GB/Month,5000,0.036,180.00
sub-ent-prod-us,Enterprise Production US,rg-ent-storage-backup,stentbackup-02,Microsoft.Storage/storageAccounts,eastus,Standard_LRS,NDF,1 GB/Month,3000,0.018,54.00
sub-ent-prod-us,Enterprise Production US,rg-ent-storage-logs,stentlogs,Microsoft.Storage/storageAccounts,eastus,Standard_LRS,NDF,1 GB/Month,2000,0.018,36.00
sub-ent-prod-us,Enterprise Production US,rg-ent-storage-archive,stentarchive,Microsoft.Storage/storageAccounts,eastus,Standard_LRS,NDF,1 GB/Month,15000,0.018,270.00
sub-ent-prod-us,Enterprise Production US,rg-ent-database-primary,sqlserver-primary-01,Microsoft.Sql/servers/databases,eastus,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-ent-prod-us,Enterprise Production US,rg-ent-database-primary,sqlserver-primary-02,Microsoft.Sql/servers/databases,eastus,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-ent-prod-us,Enterprise Production US,rg-ent-database-primary,sqlserver-primary-03,Microsoft.Sql/servers/databases,eastus,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-ent-prod-us,Enterprise Production US,rg-ent-database-analytics,sqlserver-analytics-01,Microsoft.Sql/servers/databases,eastus,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-ent-prod-us,Enterprise Production US,rg-ent-database-analytics,sqlserver-analytics-02,Microsoft.Sql/servers/databases,eastus,GeneralPurpose,NDF,1 Hour,730,0.40,292.00
sub-ent-prod-us,Enterprise Production US,rg-ent-database-cache,sqlserver-cache,Microsoft.Sql/servers/databases,eastus,Standard,NDF,1 Hour,730,0.10,73.00
sub-ent-prod-us,Enterprise Production US,rg-ent-cosmosdb,cosmosdb-primary,Microsoft.DocumentDB/databaseAccounts,eastus,NDF,Multi-region,1 Hour,730,0.72,525.60
sub-ent-prod-us,Enterprise Production US,rg-ent-postgres,postgresql-main,Microsoft.DBforPostgreSQL/servers,eastus,NDF,General Purpose,1 Hour,730,0.256,186.88
sub-ent-prod-us,Enterprise Production US,rg-ent-web-main,asp-ent-main,Microsoft.Web/serverFarms,eastus,NDF,P3v2,1 Hour,730,0.252,183.96
