subscription_id,subscription_name,resource_group,resource_name,resource_type,location,sku,size,unit,quantity,unit_price_usd,estimated_cost_usd
sub-multienv-dev,Development Multi-Env,rg-dev-team-a,vm-dev-a-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_B2s,1 Hour,730,0.0416,30.368
sub-multienv-dev,Development Multi-Env,rg-dev-team-a,vm-dev-a-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_B2s,1 Hour,730,0.0416,30.368
sub-multienv-dev,Development Multi-Env,rg-dev-team-b,vm-dev-b-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_B2s,1 Hour,730,0.0416,30.368
sub-multienv-dev,Development Multi-Env,rg-dev-storage,stdev,Microsoft.Storage/storageAccounts,eastus,Standard_LRS,NDF,1 GB/Month,100,0.0224,2.24
sub-multienv-dev,Development Multi-Env,rg-dev-database,sqlserver-dev,Microsoft.Sql/servers/databases,eastus,Standard,NDF,1 GB/Month,730,0.17,124.1
sub-multienv-staging,Staging Multi-Env,rg-stg-compute,vm-stg-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D2s_v3,1 Hour,730,0.0181,13.2028
sub-multienv-staging,Staging Multi-Env,rg-stg-compute,vm-stg-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D2s_v3,1 Hour,730,0.0181,13.2028
sub-multienv-staging,Staging Multi-Env,rg-stg-storage,ststg,Microsoft.Storage/storageAccounts,eastus,Standard_GRS,NDF,1 GB/Month,100,0.0448,4.48
sub-multienv-staging,Staging Multi-Env,rg-stg-database,sqlserver-stg,Microsoft.Sql/servers/databases,eastus,Standard,NDF,1 GB/Month,730,0.17,124.1
sub-multienv-staging,Staging Multi-Env,rg-stg-web,asp-stg,Microsoft.Web/serverFarms,eastus,NDF,S1,1 Hour,0,0.0,0.0
sub-multienv-prod,Production Multi-Env,rg-prod-web-team,vm-prod-web-01,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D4s_v3,1 Hour,730,0.0444,32.377
sub-multienv-prod,Production Multi-Env,rg-prod-web-team,vm-prod-web-02,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D4s_v3,1 Hour,730,0.0444,32.377
sub-multienv-prod,Production Multi-Env,rg-prod-web-team,vm-prod-web-03,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_D4s_v3,1 Hour,730,0.0444,32.377
sub-multienv-prod,Production Multi-Env,rg-prod-api-team,vm-prod-api-01,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_E4s_v3,1 Hour,730,0.0591,43.1693
sub-multienv-prod,Production Multi-Env,rg-prod-api-team,vm-prod-api-02,Microsoft.Compute/virtualMachines,westeurope,NDF,Standard_E4s_v3,1 Hour,730,0.0591,43.1693
sub-multienv-prod,Production Multi-Env,rg-prod-storage,stprod,Microsoft.Storage/storageAccounts,westeurope,Premium_LRS,NDF,1 GiB/Hour,100,0.0001,0.013
sub-multienv-prod,Production Multi-Env,rg-prod-database,sqlserver-prod,Microsoft.Sql/servers/databases,westeurope,GeneralPurpose,NDF,1 Hour,0,0.0,0.0
sub-multienv-prod,Production Multi-Env,rg-prod-database,cosmosdb-prod,Microsoft.DocumentDB/databaseAccounts,westeurope,NDF,Multi-region,Unsupported type,0,0.0,0.0
sub-multienv-prod,Production Multi-Env,rg-prod-web,asp-prod-main,Microsoft.Web/serverFarms,westeurope,NDF,P2v2,1 Hour,0,0.0,0.0
sub-multienv-prod,Production Multi-Env,rg-prod-web,asp-prod-api,Microsoft.Web/serverFarms,westeurope,NDF,P2v2,1 Hour,0,0.0,0.0
sub-multienv-prod,Production Multi-Env,rg-prod-insights,appinsights-prod,Microsoft.Insights/components,westeurope,NDF,Enterprise,Unsupported type,0,0.0,0.0
