subscription_id,subscription_name,resource_group,resource_name,resource_type,location,sku,size,unit,quantity,unit_price_usd,estimated_cost_usd
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-primary,vm-tenant-web-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-primary,vm-tenant-web-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-primary,vm-tenant-web-03,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-primary,vm-tenant-web-04,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-primary,vm-tenant-web-05,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-api,vm-tenant-api-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E4s_v3,1 Hour,730,0.264,192.72
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-api,vm-tenant-api-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E4s_v3,1 Hour,730,0.264,192.72
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-api,vm-tenant-api-03,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E4s_v3,1 Hour,730,0.264,192.72
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-api,vm-tenant-api-04,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E4s_v3,1 Hour,730,0.264,192.72
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-worker,vm-tenant-worker-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-worker,vm-tenant-worker-02,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-worker,vm-tenant-worker-03,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_D4s_v3,1 Hour,730,0.211,154.03
sub-tenant-prod-main,Multi-Tenant Production,rg-tenant-compute-cache,vm-tenant-cache-01,Microsoft.Compute/virtualMachines,eastus,NDF,Standard_E8s_v3,1 Hour,730,0.528,385.44
